Brand,SOC,NEC,Reaction,Total,Fatal,rnk
Pfizer,Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal haemorrhage,1,0,81
Pfizer,Eye disorders,Retinal bleeding and vascular disorders (excl retinopathy),Retinal vein occlusion,2,0,43
Pfizer,Eye disorders,"Retinal structural change, deposit and degeneration",Maculopathy,1,0,67
Pfizer,Eye disorders,"Retinal structural change, deposit and degeneration",Retinal toxicity,1,0,72
Pfizer,Eye disorders,"Scleral infections, irritations and inflammations",Episcleritis,3,0,39
Pfizer,Eye disorders,Visual colour distortions,Cyanopsia,1,0,66
Pfizer,Eye disorders,Visual colour distortions,Erythropsia,2,0,50
Pfizer,Eye disorders,Visual disorders NEC,Diplopia,31,0,11
Pfizer,Eye disorders,Visual disorders NEC,Halo vision,4,0,33
Pfizer,Eye disorders,Visual disorders NEC,Metamorphopsia,3,0,37
Pfizer,Eye disorders,Visual disorders NEC,Oscillopsia,1,0,87
Pfizer,Eye disorders,Visual disorders NEC,Photopsia,27,0,14
Pfizer,Eye disorders,Visual disorders NEC,Scintillating scotoma,1,0,82
Pfizer,Eye disorders,Visual disorders NEC,Vision blurred,225,0,2
Pfizer,Eye disorders,Visual disorders NEC,Visual brightness,1,0,58
Pfizer,Eye disorders,Visual impairment and blindness (excl colour blindness),Blindness,15,0,17
Pfizer,Eye disorders,Visual impairment and blindness (excl colour blindness),Blindness transient,3,0,40
Pfizer,Eye disorders,Visual impairment and blindness (excl colour blindness),Blindness unilateral,2,0,48
Pfizer,Eye disorders,Visual impairment and blindness (excl colour blindness),Central vision loss,1,0,85
Pfizer,Eye disorders,Visual impairment and blindness (excl colour blindness),Sudden visual loss,1,0,55
Pfizer,Eye disorders,Visual impairment and blindness (excl colour blindness),Visual acuity reduced,1,0,78
Pfizer,Eye disorders,Visual impairment and blindness (excl colour blindness),Visual impairment,72,0,6
Pfizer,Gastrointestinal disorders,Abdominal findings abnormal,Gastrointestinal sounds abnormal,3,0,87
Pfizer,Gastrointestinal disorders,Acute and chronic pancreatitis,Pancreatitis,2,0,96
Pfizer,Gastrointestinal disorders,Acute and chronic pancreatitis,Pancreatitis necrotising,1,0,131
Pfizer,Gastrointestinal disorders,Anal and rectal disorders NEC,Anal sphincter atony,1,0,159
Pfizer,Gastrointestinal disorders,Anal and rectal pains,Proctalgia,4,0,71
Pfizer,Gastrointestinal disorders,Anal and rectal signs and symptoms,Anal spasm,1,0,132
Pfizer,Gastrointestinal disorders,Anal and rectal signs and symptoms,Anorectal discomfort,3,0,88
Pfizer,Gastrointestinal disorders,Benign oral cavity neoplasms,Mouth cyst,2,0,111
Pfizer,Gastrointestinal disorders,Colitis (excl infective),Colitis,5,0,68
Pfizer,Gastrointestinal disorders,Colitis (excl infective),Colitis ulcerative,6,0,57
Pfizer,Gastrointestinal disorders,Colitis (excl infective),Crohn's disease,8,0,46
Pfizer,Gastrointestinal disorders,Dental disorders NEC,Teething,1,0,154
Pfizer,Gastrointestinal disorders,Dental pain and sensation disorders,Dental discomfort,1,0,155
Pfizer,Gastrointestinal disorders,Dental pain and sensation disorders,Dental paraesthesia,1,0,145
Pfizer,Gastrointestinal disorders,Dental pain and sensation disorders,Hyperaesthesia teeth,7,0,49
Pfizer,Gastrointestinal disorders,Dental pain and sensation disorders,Toothache,20,0,27
Pfizer,Gastrointestinal disorders,Diaphragmatic hernias,Hiatus hernia,1,0,163
Pfizer,Gastrointestinal disorders,Diarrhoea (excl infective),Diarrhoea,1547,4,2
Pfizer,Gastrointestinal disorders,Diarrhoea (excl infective),Diarrhoea haemorrhagic,4,0,73
Pfizer,Gastrointestinal disorders,Duodenal and small intestinal stenosis and obstruction,Small intestinal obstruction,1,0,164
Pfizer,Gastrointestinal disorders,Dyspeptic signs and symptoms,Dyspepsia,83,0,13
Pfizer,Gastrointestinal disorders,Dyspeptic signs and symptoms,Epigastric discomfort,5,0,66
Pfizer,Gastrointestinal disorders,Dyspeptic signs and symptoms,Eructation,14,0,34
Pfizer,Gastrointestinal disorders,Faecal abnormalities NEC,Abnormal faeces,3,0,79
Pfizer,Gastrointestinal disorders,Faecal abnormalities NEC,Faeces discoloured,11,0,41
Pfizer,Gastrointestinal disorders,Faecal abnormalities NEC,Faeces pale,2,0,107
Pfizer,Gastrointestinal disorders,Faecal abnormalities NEC,Faeces soft,2,0,97
Pfizer,Gastrointestinal disorders,"Flatulence, bloating and distension",Abdominal distension,54,0,15
Pfizer,Gastrointestinal disorders,"Flatulence, bloating and distension",Aerophagia,2,0,104
Pfizer,Gastrointestinal disorders,"Flatulence, bloating and distension",Flatulence,44,0,19
Pfizer,Gastrointestinal disorders,Gastric and oesophageal haemorrhages,Gastric haemorrhage,2,1,108
Pfizer,Gastrointestinal disorders,Gastric ulcers and perforation,Gastric ulcer,1,0,123
Pfizer,Gastrointestinal disorders,Gastritis (excl infective),Gastritis,11,0,39
Pfizer,Gastrointestinal disorders,Gastritis (excl infective),Reflux gastritis,3,0,89
Pfizer,Gastrointestinal disorders,Gastrointestinal and abdominal pains (excl oral and throat),Abdominal migraine,1,0,150
Pfizer,Gastrointestinal disorders,Gastrointestinal and abdominal pains (excl oral and throat),Abdominal pain,306,0,6
Pfizer,Gastrointestinal disorders,Gastrointestinal and abdominal pains (excl oral and throat),Abdominal pain lower,16,0,32
Pfizer,Gastrointestinal disorders,Gastrointestinal and abdominal pains (excl oral and throat),Abdominal pain upper,488,0,4
Pfizer,Gastrointestinal disorders,Gastrointestinal and abdominal pains (excl oral and throat),Abdominal rigidity,2,0,101
Pfizer,Gastrointestinal disorders,Gastrointestinal and abdominal pains (excl oral and throat),Abdominal tenderness,3,0,81
Pfizer,Gastrointestinal disorders,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal pain,29,0,21
Pfizer,Gastrointestinal disorders,Gastrointestinal atonic and hypomotility disorders NEC,Constipation,46,0,18
Pfizer,Gastrointestinal disorders,Gastrointestinal atonic and hypomotility disorders NEC,Duodenogastric reflux,2,0,100
Pfizer,Gastrointestinal disorders,Gastrointestinal atonic and hypomotility disorders NEC,Gastric dilatation,2,0,91
Pfizer,Gastrointestinal disorders,Gastrointestinal atonic and hypomotility disorders NEC,Gastrooesophageal reflux disease,25,0,23
Pfizer,Gastrointestinal disorders,Gastrointestinal atonic and hypomotility disorders NEC,Intestinal pseudo-obstruction,1,0,128
Pfizer,Gastrointestinal disorders,Gastrointestinal disorders NEC,Functional gastrointestinal disorder,2,0,117
Pfizer,Gastrointestinal disorders,Gastrointestinal disorders NEC,Gastric disorder,3,0,77
Pfizer,Gastrointestinal disorders,Gastrointestinal disorders NEC,Gastrointestinal disorder,2,0,103
Pfizer,Gastrointestinal disorders,Gastrointestinal dyskinetic disorders,Change of bowel habit,1,0,134
Pfizer,Gastrointestinal disorders,Gastrointestinal dyskinetic disorders,Dyschezia,1,0,153
Pfizer,Gastrointestinal disorders,Gastrointestinal dyskinetic disorders,Gastrointestinal motility disorder,1,0,148
Pfizer,Gastrointestinal disorders,Gastrointestinal inflammatory disorders NEC,Enteritis,1,0,167
Pfizer,Gastrointestinal disorders,Gastrointestinal mucosal dystrophies and secretion disorders,Hyperchlorhydria,1,0,140
Pfizer,Gastrointestinal disorders,Gastrointestinal signs and symptoms NEC,Abdominal discomfort,167,0,10
Pfizer,Gastrointestinal disorders,Gastrointestinal signs and symptoms NEC,Acute abdomen,1,0,136
Pfizer,Gastrointestinal disorders,Gastrointestinal signs and symptoms NEC,Anal incontinence,6,0,54
Pfizer,Gastrointestinal disorders,Gastrointestinal signs and symptoms NEC,Breath odour,5,0,69
Pfizer,Gastrointestinal disorders,Gastrointestinal signs and symptoms NEC,Dysphagia,50,0,16
Pfizer,Gastrointestinal disorders,Gastrointestinal spastic and hypermotility disorders,Defaecation urgency,2,0,99
Pfizer,Gastrointestinal disorders,Gastrointestinal spastic and hypermotility disorders,Frequent bowel movements,9,0,45
Pfizer,Gastrointestinal disorders,Gastrointestinal spastic and hypermotility disorders,Irritable bowel syndrome,18,0,29
Pfizer,Gastrointestinal disorders,Gastrointestinal spastic and hypermotility disorders,Oesophageal spasm,2,0,98
Pfizer,Gastrointestinal disorders,Gastrointestinal spastic and hypermotility disorders,Pylorospasm,1,0,157
Pfizer,Gastrointestinal disorders,Gastrointestinal stenosis and obstruction NEC,Intestinal obstruction,1,0,125
Pfizer,Gastrointestinal disorders,Gastrointestinal vascular malformations,Gastric antral vascular ectasia,1,0,129
Pfizer,Gastrointestinal disorders,Gastrointestinal vascular occlusion and infarction,Intestinal ischaemia,1,0,156
Pfizer,Gastrointestinal disorders,"Gingival disorders, signs and symptoms NEC",Gingival blister,5,0,60
Pfizer,Gastrointestinal disorders,"Gingival disorders, signs and symptoms NEC",Gingival discomfort,2,0,114
Pfizer,Gastrointestinal disorders,"Gingival disorders, signs and symptoms NEC",Gingival pain,24,0,24
Pfizer,Gastrointestinal disorders,"Gingival disorders, signs and symptoms NEC",Gingival swelling,6,0,52
Pfizer,Gastrointestinal disorders,"Gingival disorders, signs and symptoms NEC",Gingivitis ulcerative,1,0,160
Pfizer,Gastrointestinal disorders,"Gingival disorders, signs and symptoms NEC",Noninfective gingivitis,1,0,118
Pfizer,Gastrointestinal disorders,Gingival haemorrhages,Gingival bleeding,6,0,58
Pfizer,Gastrointestinal disorders,Haemorrhoids and gastrointestinal varices (excl oesophageal),Gastric varices,1,0,138
Pfizer,Gastrointestinal disorders,Haemorrhoids and gastrointestinal varices (excl oesophageal),Haemorrhoids,6,0,53
Pfizer,Gastrointestinal disorders,Intestinal haemorrhages,Anal haemorrhage,4,0,70
Pfizer,Gastrointestinal disorders,Intestinal haemorrhages,Rectal haemorrhage,17,0,31
Pfizer,Gastrointestinal disorders,Intestinal haemorrhages,Small intestinal haemorrhage,3,0,83
Pfizer,Gastrointestinal disorders,Intestinal ulcers and perforation NEC,Intestinal perforation,2,2,115
Pfizer,Gastrointestinal disorders,Malabsorption syndromes,Coeliac disease,2,0,116
Pfizer,Gastrointestinal disorders,Malabsorption syndromes,Steatorrhoea,1,0,158
Pfizer,Gastrointestinal disorders,Nausea and vomiting symptoms,Discoloured vomit,4,0,76
Pfizer,Gastrointestinal disorders,Nausea and vomiting symptoms,Nausea,4423,1,1
Pfizer,Gastrointestinal disorders,Nausea and vomiting symptoms,Regurgitation,1,0,121
Pfizer,Gastrointestinal disorders,Nausea and vomiting symptoms,Retching,35,0,20
Pfizer,Gastrointestinal disorders,Nausea and vomiting symptoms,Vomiting,1201,2,3
Pfizer,Gastrointestinal disorders,Nausea and vomiting symptoms,Vomiting projectile,20,0,26
Pfizer,Gastrointestinal disorders,Non-site specific gastrointestinal haemorrhages,Gastrointestinal haemorrhage,3,0,82
Pfizer,Gastrointestinal disorders,Non-site specific gastrointestinal haemorrhages,Haematemesis,15,2,33
Pfizer,Gastrointestinal disorders,Non-site specific gastrointestinal haemorrhages,Haematochezia,10,0,43
Pfizer,Gastrointestinal disorders,Non-site specific gastrointestinal haemorrhages,Melaena,5,0,61
Pfizer,Gastrointestinal disorders,Non-site specific gastrointestinal haemorrhages,Upper gastrointestinal haemorrhage,2,0,106
Pfizer,Gastrointestinal disorders,Oesophageal stenosis and obstruction,Oesophageal stenosis,1,0,122
Pfizer,Gastrointestinal disorders,Oesophagitis (excl infective),Oesophagitis,1,0,120
Pfizer,Gastrointestinal disorders,Oral dryness and saliva altered,Aptyalism,1,0,127
Pfizer,Gastrointestinal disorders,Oral dryness and saliva altered,Dry mouth,171,0,9
Pfizer,Gastrointestinal disorders,Oral dryness and saliva altered,Lip dry,13,0,38
Pfizer,Gastrointestinal disorders,Oral dryness and saliva altered,Saliva altered,1,0,135
Pfizer,Gastrointestinal disorders,Oral dryness and saliva altered,Salivary hypersecretion,13,0,36
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Chapped lips,5,0,59
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Cheilitis,10,0,44
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Enlarged uvula,6,0,55
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Lip blister,7,0,50
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Lip disorder,2,0,109
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Oral disorder,3,0,85
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Oral lichen planus,1,0,165
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Oral papule,1,0,149
Pfizer,Gastrointestinal disorders,Oral soft tissue disorders NEC,Uvulitis,1,0,139
Pfizer,Gastrointestinal disorders,Oral soft tissue haemorrhages,Mouth haemorrhage,2,0,110
Pfizer,Gastrointestinal disorders,Oral soft tissue haemorrhages,Oral blood blister,5,0,62
Pfizer,Gastrointestinal disorders,Oral soft tissue signs and symptoms,Anaesthesia oral,1,0,143
Pfizer,Gastrointestinal disorders,Oral soft tissue signs and symptoms,Hypoaesthesia oral,158,0,11
Pfizer,Gastrointestinal disorders,Oral soft tissue signs and symptoms,Lip discolouration,1,0,152
Pfizer,Gastrointestinal disorders,Oral soft tissue signs and symptoms,Lip erythema,1,0,119
Pfizer,Gastrointestinal disorders,Oral soft tissue signs and symptoms,Lip exfoliation,3,0,86
Pfizer,Gastrointestinal disorders,Oral soft tissue signs and symptoms,Lip pain,18,0,28
Pfizer,Gastrointestinal disorders,Oral soft tissue signs and symptoms,Lip pruritus,5,0,63
